ï»¿dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,2,3753,1332,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,3,3679,58460931,0,5232,5232,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,2,3733,1402,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,4,58460931,3749,5232,0,5232,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,3,3413,3623,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,2,3683,1422,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,1,3733,1172,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,1,3753,5227812,0,1393,1393,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,1,3528,1422,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,2,3929,53230984,0,3838,3838,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,4,3553,3343,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,2,3733,1402,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,4,3833,125226685,0,3838,3838,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,1,3753,1332,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,2,3969,53060140,0,2619,2619,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,4,3959,178284357,0,6457,6457,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,2,3413,3623,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,1,3663,1242,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,3,3623,3413,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,3,58460931,3679,5232,0,5232,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,3,125225619,3833,3838,0,3838,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,3,3343,3553,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,4,3623,3413,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,1,3663,1422,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,1,3753,1242,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,4,3623,3413,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,3,178285423,3959,6457,0,6457,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,4,179670409,3917,11699,0,11699,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,2,3413,3623,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,1,3773,1422,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,3,3343,3623,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,2,3646,1492,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,1,159953526,1550,11948,0,11948,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,2,357952669,2082,18157,0,18157,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,3,5312,631111346,0,7165,7165,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,4,3842,3590,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,4,3842,3520,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,4,3842,3590,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,2,3590,3842,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,3,4850,371009240,0,4811,4811,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,2,4434,260103418,0,2354,2354,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,3,3590,3842,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,1,4266,143970278,0,2452,2452,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,3,3520,3842,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,1,3972,1312,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,1,3882,1312,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,2,3952,1472,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,2,3972,1402,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,1,3952,1562,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,3,143928808,4094,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,2,4358,143926544,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,3,287897858,4472,2452,0,2452,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,4,4514,279389270,0,0,0,1
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,1.0711E10,3,1790,0,0,0,UDP,1,3753,1172,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,2,3865,1562,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,1,3747,1492,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,135036,143948376,310,738000000,3.11E11,2,1943,8641,9211306,288,UDP,3,3842,3590,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,1,3472,1332,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,1,3492,1332,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,2,3472,1172,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,1,3542,1086,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,3,3236,3362,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,1,3369,1332,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,4,3362,3022,0,0,0,1
